arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
great_tables/_utils.py,funcao,_assert_str_in_set,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils.py,funcao,_assert_list_is_subset,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_utils.py,funcao,_str_scalar_to_list,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,_create,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,as_set,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,as_list,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,as_dict,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,__contains__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils.py,funcao,__iter__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,__len__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,__repr__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils.py,funcao,_as_css_font_family_attr,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
